hemis_credits_total,hemis_credits_passed,hemis_credits_failed,hemis_credit_pass_rate,target_success_75,matric_school_name,teaching_language,teacher_language_alternation_helped,school_language_same_as_home,english_language_level,school_fee_source,matric_class_size,school_location,school_facilities_count,school_facilities_used_count,school_commute_mode,used_online_learning,school_leadership_activity,school_meal_source,school_academic_achievement,home_resources_count,family_attended_university,home_location,general_support_source,has_dependents,number_of_dependents,has_disability_or_special_needs,plans_part_time_work,part_time_hours,concern_academic,concern_financial,concern_adjustment_belonging,concern_accommodation_transport,concern_safety_health,concern_time_management,concern_any,programme_choice,first_choice_influence,university_accommodation,accommodation_type,accommodation_internet,accommodation_backup_power,distance_from_campus,travel_to_campus,travel_time_to_8am,devices_owned_count,tuition_funding,accommodation_funding,living_expense_funding,applied_nsfas,nsfas_approved,father_employment_status,mother_employment_status
,,,,,Poo secondary school ,English,1.0,0.0,First,No fee-paying school,Between 41 and 60,Rural Village,8,7,Public Transport,0.0,0.0,Parents provided lunch money,Bachelor,2,0.0,Rural Village,Both Parents,0.0,0.0,,,5.0,1,0,0,0,0,1,1,First,Role Models,University Residence,,1.0,1.0,,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,Employed and earning salary/wages,Employed and earning salary/wages
,,,,,Central Secondary School ,Setswana,1.0,1.0,Second,No fee-paying school,Between 31 and 40,Township,5,3,Walking,0.0,0.0,School based feeding programme,Bachelor,4,1.0,Township,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,1.0,1.0,6.0,1,1,1,0,1,1,1,First,Other,University Residence,Self Catering,1.0,1.0,Less than 5km,Walking,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,Unemployed and receiving social grant,Unemployed and looking for work
,,,,,Rantobeng Secondary School,English,1.0,0.0,Second,Parents or guardians,Between 41 and 60,Rural Village,6,0,Public Transport,1.0,0.0,School based feeding programme,Bachelor,0,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,1,First,Other,University Residence,Self Catering,1.0,0.0,Between 15km and 19km,University bus service,Between 31 minutes and an hour,2,Parent/Parents,Parent/Parents,"Spouse/Partner e.g., wife, boyfriend etc.",0.0,0.0,Employed and earning salary/wages,Employed and earning salary/wages
,,,,,Kheto Nxumalo Agricultural high school ,Xitsonga,1.0,0.0,First,Government scholarship/bursary,Between 61 and 80,Rural Village,7,7,Walking,0.0,0.0,Three meals a day,Bachelor,3,1.0,Rural Village,Single Parent,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,Second,Passion,Accommodation,,1.0,1.0,Between 6km and 9km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Hlabi secondary school ,Sepedi,1.0,1.0,First,No fee-paying school,Between 31 and 40,Rural Village,8,8,Walking,0.0,0.0,School based feeding programme,Bachelor,1,0.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,First,Other,University Residence,Catered,1.0,1.0,Less than 5km,Walking,less than 30 minutes,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,St Bede's High School,Sepedi,1.0,1.0,First,No fee-paying school,Between 41 and 60,Rural Village,8,5,Public Transport,0.0,1.0,Parents provided lunch money,School leaving,4,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,First,Passion,University Residence,Self Catering,0.0,1.0,Less than 5km,Walking,less than 30 minutes,3,"Bursary e.g., Eskom, Sasol etc.","Bursary e.g., Eskom, Sasol etc","Bursary e.g., Eskom, Sasol etc.",,,,
,,,,,Mafumani secondary ,Xitsonga,1.0,0.0,First,No fee-paying school,Between 41 and 60,Rural Village,7,7,Walking,1.0,1.0,School based feeding programme,Bachelor,1,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,First,Role Models,University Residence,Self Catering,1.0,0.0,Less than 5km,Walking,less than 30 minutes,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,St Jude's Private school,English,1.0,0.0,Second,Parents or guardians,Between 20 and 30,Suburb/City/Town,4,4,Public Transport,1.0,0.0,Parents provided lunch money,Bachelor,2,1.0,Suburb/City/Town,No support,1.0,1.0,0.0,0.0,0.0,1,1,0,0,1,1,1,First,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
,,,,,Rephafogile Secondary School ,English,1.0,1.0,Second,No fee-paying school,Between 41 and 60,Public,8,6,Walking,1.0,0.0,School based feeding programme,Bachelor,2,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,First,Passion,University Residence,Self Catering,1.0,0.0,Between 6km and 9km,Walking,less than 30 minutes,1,Funding arrangements not analyzed (if none of the above options apply),Funding arrangements not finalized (if none of the above options apply),Funding arrangements not finalized (if none of the above options apply),,,,
,,,,,Mashooro High school ,English,1.0,0.0,First,No fee-paying school,Greater than 80,Rural Village,3,2,Walking,0.0,0.0,School based feeding programme,Bachelor,1,0.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,First,The desire to make a difference,Accommodation,Self Catering,1.0,1.0,Between 10km and 14km,University bus service,Between 1 and 2 hours,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,Employed and earning salary/wages
