hemis_credits_total,hemis_credits_passed,hemis_credits_failed,hemis_credit_pass_rate,target_success_75,matric_school_name,teaching_language,teacher_language_alternation_helped,school_language_same_as_home,english_language_level,school_fee_source,matric_class_size,school_location,school_facilities_count,school_facilities_used_count,school_commute_mode,used_online_learning,school_leadership_activity,school_meal_source,school_academic_achievement,home_resources_count,family_attended_university,home_location,general_support_source,has_dependents,number_of_dependents,has_disability_or_special_needs,plans_part_time_work,part_time_hours,concern_academic,concern_financial,concern_adjustment_belonging,concern_accommodation_transport,concern_safety_health,concern_time_management,concern_any,programme_choice,first_choice_influence,university_accommodation,accommodation_type,accommodation_internet,accommodation_backup_power,distance_from_campus,travel_to_campus,travel_time_to_8am,devices_owned_count,tuition_funding,accommodation_funding,living_expense_funding,applied_nsfas,nsfas_approved,father_employment_status,mother_employment_status
1.0,1.0,0.0,1.0,1.0,Reitumetse Secondary School ,English,1.0,1.0,First,Parents or guardians,Between 31 and 40,Township,8,5,Public Transport,0.0,0.0,School based feeding programme,Bachelor,4,0.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,1,Second,Other,Accommodation,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Taxila,English,1.0,0.0,Second,Parents or guardians,Between 20 and 30,Suburb/City/Town,10,10,Dropped off by parent or relative,1.0,0.0,Parents provided lunch money,Bachelor,5,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,First,Passion,University Residence,,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,Parent/Parents,Parent/Parents,Paying for myself,,,Employed and earning salary/wages,Employed and earning salary/wages
0.08,0.08,0.0,1.0,1.0,Dinakanyane senior secondary school,Sepedi,1.0,1.0,First,No fee-paying school,Between 41 and 60,Rural Village,7,7,Walking,0.0,0.0,School based feeding programme,Bachelor,2,1.0,Rural Village,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,First,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Less than 5km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,0.0,,
1.0,1.0,0.0,1.0,1.0,Lepono Senior Secondary School ,Sepedi,1.0,1.0,Second,No fee-paying school,Between 31 and 40,Township,9,9,Walking,0.0,1.0,School based feeding programme,Bachelor,1,1.0,Township,Single Parent,0.0,0.0,1.0,1.0,5.0,1,1,1,0,1,1,1,Second,Passion,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.08,0.08,0.0,1.0,1.0,Rantobeng High School ,English,1.0,0.0,Second,No fee-paying school,Between 31 and 40,Rural Village,9,7,Scholar transport (Rural learners),0.0,0.0,School based feeding programme,Bachelor,3,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,3,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.95,0.95,0.0,1.0,1.0,Northcliff High School,English,1.0,1.0,Second,Parents or guardians,Between 20 and 30,Suburb/City/Town,11,8,Own Automobile/car,1.0,0.0,Parents provided lunch box.,School leaving,4,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,1.0,5.0,1,1,0,0,1,1,1,Third,Passion,Accommodation,,,0.0,Between 20km and 30km,University bus service,Between 1 and 2 hours,1,Funding arrangements not analyzed (if none of the above options apply),Funding arrangements not finalized (if none of the above options apply),Funding arrangements not finalized (if none of the above options apply),,,,
0.5,0.3,0.2,0.6,0.0,Hoerskool Gerrit Maritz,English,1.0,0.0,Second,"Bursary e.g., Sasol, Eskom etc.",Between 31 and 40,Suburb/City/Town,11,7,Dropped off by parent or relative,0.0,0.0,Parents provided lunch money,Bachelor,5,1.0,Suburb/City/Town,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,Third,The desire to make a difference,Private,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,Government scholarship/bursary,Government scholarship/bursary,Government scholarship/bursary,,,,
1.0,0.938,0.062,0.938,1.0,Abel Motshoane secondary school,English,1.0,0.0,Second,No fee-paying school,Between 20 and 30,Informal settlement,11,8,Walking,1.0,0.0,School based feeding programme,Bachelor,3,0.0,Informal settlement,Single Parent,1.0,3.0,0.0,0.0,0.0,1,1,0,0,1,1,1,First,The desire to make a difference,University Residence,Catered,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Moukagoe secondary school ,Sepedi,1.0,1.0,Second,No fee-paying school,Between 41 and 60,Rural Village,7,5,Walking,1.0,0.0,School based feeding programme,Bachelor,2,0.0,Rural Village,Single Parent,0.0,0.0,0.0,,,1,1,0,0,0,1,1,Third,Passion,Accommodation,Self Catering,1.0,,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.08,0.08,0.0,1.0,1.0,Makhosini Combined Secondary School ,English,1.0,0.0,Second,No fee-paying school,Between 31 and 40,Township,6,5,Walking,0.0,0.0,School based feeding programme,Bachelor,2,1.0,Township,"Guardian e.g., grandparent, uncle, siblings etc..",0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,First,The desire to make a difference,Accommodation,Self Catering,1.0,0.0,Greater than 30km,University bus service,Between 1 and 2 hours,1,Government scholarship/bursary,Government scholarship/bursary,Government scholarship/bursary,,,,
